Software,RP Name
edgeR,Rockfish
eigen,"Stampede-2, Anvil, ACES"
einops,ACES
elemental,Stampede-2
elfutils,ACES
elpa,"OOKAMI, ACES"
emacs,"Anvil, Rockfish"
ensembl-vep,Rockfish
entrezdirect,Expanse
ESMF,ACES
expat,"ACES, Rockfish"
expat-2.2.10-gcc-9.3.0-dola2tn,KyRIC
expecttest,ACES
extrae,KyRIC
FASTA-Splitter,Bridges-2
fastai,ACES
FastANI,Bridges-2
FASTQ-Splitter,Bridges-2
FastQC,"Stampede-2, ACES, Bridges-2, Rockfish"
FASTX Toolkit,Bridges-2
fastx_toolkit,Stampede-2
feh,Rockfish
fenics,Rockfish
ferret,Rockfish
ffmpeg,"OOKAMI, Stampede-2, ACES, Rockfish"
ffnvcodec,ACES
FFTW,"Anvil, DARWIN, ACES, Delta, Rockfish"
fftw-3.3.9-gcc-9.3.0-7ffoo22,KyRIC
FFTW.MPI,ACES
fftw2,Stampede-2
FFTW3,"OOKAMI, Stampede-2, Bridges-2"
file,ACES
Firefox,"ACES, Rockfish"
FLAC,ACES
FLASh,Bridges-2
Flask,ACES
flatbuffers,ACES
flatbuffers-python,ACES
flex,"OOKAMI, ACES"
FlexiBLAS,ACES
fltk,"ACES, Rockfish"
Fluent,Bridges-2
FMS2,OOKAMI
fontconfig,"ACES, Rockfish"
Fortran,"DARWIN, Bridges-2"
foss,ACES
fosscuda,ACES
freeglut,ACES
freeipmi,OOKAMI
freetype,"ACES, Rockfish"
fribidi,"ACES, Rockfish"
fujitsu,OOKAMI
Funannotate,Bridges-2
GAMESS,"Stampede-2, Bridges-2"
GATK,"Stampede-2, Bridges-2, Rockfish"
Gaussian,"Stampede-2, DARWIN, Bridges-2, Rockfish"
gaussview,Rockfish
gawk-5.1.0-gcc-9.3.0-is2xpxq,KyRIC
gcc,"FASTER, Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish"
gcc-10.2.0-gcc-9.3.0-prm4se2,KyRIC
GCCcore,"ACES, Rockfish"
gcccuda,ACES
gdal,"ACES, Rockfish"
gdb,Anvil
gdbm-1.18.1-gcc-9.3.0-33qtrum,KyRIC
Gdk-Pixbuf,ACES
GDRCopy,ACES
GeneMark-ES,Bridges-2
gengetopt,Rockfish
GeNT,Bridges-2
geos,"OOKAMI, ACES, Rockfish"
geos-chem,Rockfish
gethost,OOKAMI
gettext,"ACES, Rockfish"
gettext-0.21-gcc-9.3.0-x4s52y3,KyRIC
gfbf,ACES
gh,Expanse
Ghostscript,ACES
giflib,ACES
Git,"Expanse, OOKAMI, Stampede-2, ACES, Delta, Bridges-2, Rockfish"
git-2.29.0-gcc-9.3.0-3xgg4ng,KyRIC
git-annex,Rockfish
git-lfs,"Expanse, ACES, Rockfish"
GL2PS,ACES
GLFW,ACES
glib,"ACES, Rockfish"
GLM,ACES
glpk,"ACES, Rockfish, Rockfish"
gmp,"OOKAMI, Anvil, ACES, Rockfish"
gmp-6.1.2-gcc-9.3.0-hpbiokz,KyRIC
gmt,Stampede-2
GNU Parallel,Bridges-2
gnu-parallel,OOKAMI
gnu9,KyRIC
gnuparallel,Stampede-2
gnuplot,"OOKAMI, ACES, Rockfish"
gnutls,Rockfish
go,"OOKAMI, ACES, Rockfish"
go-1.16-gcc-9.3.0-ajolq4h,KyRIC
go-bootstrap-1.4-bootstrap-20171003-gcc-9.3.0-wjszkk6,KyRIC
GObject-Introspection,ACES
gompi,ACES
gompic,ACES
googletest,ACES
gpaw,"Stampede-2, Anvil"
gperf,"OOKAMI, ACES, Rockfish"
gperftools,"OOKAMI, ACES"
gpustat,"ACES, Rockfish"
Graphene,ACES
GraphicsMagick,ACES
graphite2,ACES
Greenlet,ACES
groff,ACES
GROMACS,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish"
gromacs-2021.4-gcc-9.3.0-odn2sfc,KyRIC
gsl,"Stampede-2, Anvil, ACES, Rockfish"
GST-plugins-bad,ACES
GST-plugins-base,ACES
GStreamer,ACES
GTK2,ACES
GTK3,ACES
GTK4,ACES
gts,Rockfish
gulp,Stampede-2
Guppy,Bridges-2
gurobi,"DARWIN, Bridges-2, Rockfish"
gzip,ACES
h5py,ACES
hadoop,Anvil
harfbuzz,"ACES, Rockfish"
hashdeep,Bridges-2
hdf,"Anvil, ACES"
HDF5,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Bridges-2, Rockfish"
heasoft,Rockfish
help2man,ACES
helpers,Rockfish
hh-suite,"ACES, Rockfish"
Highway,ACES
hiredis,ACES
HISAT2,Bridges-2
hmmer,"ACES, Bridges-2, Rockfish"
Homer,Bridges-2
hoomd,Stampede-2
Horovod,ACES
HPC Toolkit,Jetstream2
HPCC,DARWIN
hpctoolkit,"Stampede-2, Anvil"
HPN-SSH,Bridges-2
hspice,Anvil
htop,"OOKAMI, Stampede-2, Delta"
htslib,"ACES, Bridges-2, Rockfish, Rockfish"
hwloc,"OOKAMI, Anvil, KyRIC, ACES, Rockfish"
hwloc-2.4.1-gcc-9.3.0-6l4b2ui,KyRIC
Hyperopt,ACES
hypothesis,ACES
hypre,"Stampede-2, ACES, Rockfish"
ibrun,Rockfish
iCommands,Bridges-2
ICU,ACES
icu4c-67.1-gcc-9.3.0-rxzi3va,KyRIC
idev,Stampede-2
idl,Stampede-2
igv,Rockfish
iimpi,ACES
imageio,ACES
ImageJ,ACES
ImageMagick,"OOKAMI, ACES, Delta, Rockfish"
Imath,ACES
imb,KyRIC
imbalanced-learn,ACES
imkl,ACES
imkl-FFTW,ACES
Imlib2,Rockfish
impi,"Stampede-2, ACES"
Infernal,Bridges-2
init_opencl,KyRIC
inspector,KyRIC
intel,"Expanse, OOKAMI, Stampede-2, KyRIC, ACES, Rockfish"
Intel OneAPI,Jetstream2
Intel_AI_toolkit,Delta
intel_ipp_ia32,KyRIC
intel_ipp_intel64,KyRIC
intel_ippcp_ia32,KyRIC
intel_ippcp_intel64,KyRIC
intel-compilers,ACES
intel-mkl,"Anvil, Rockfish"
intel-oneapi-advisor,Delta
intel-oneapi-compilers,Delta
intel-oneapi-mkl,"Anvil, Delta"
intel-oneapi-tbb,Anvil
intltool,ACES
ipmitool,OOKAMI
IPython,ACES
irods,Stampede-2
ISA-L,ACES
itac,"Stampede-2, KyRIC"
ITK,ACES
jags,Rockfish
jarvis-tools,Rockfish
jasmine,Rockfish
jasper,"ACES, Rockfish"
java,"Jetstream2, DARWIN, ACES, Bridges-2, Rockfish, Rockfish"
jax,ACES
jbigkit,ACES
jdftx,Rockfish
jellyfish,Rockfish
json-c,ACES
json-c-0.13.1-gcc-9.3.0-mpcyruj,KyRIC
JsonCpp,ACES
julia,"OOKAMI, ACES, Bridges-2, Rockfish"
jupyter,"Jetstream2, Anvil, Bridges-2"
jupyterhub,"Jetstream2, Anvil"
jupyterlab,"Jetstream2, Rockfish"
KaHIP,ACES
kalign,"ACES, Rockfish"
Keras,Bridges-2
kim-api,ACES
kineto,ACES
kokkos,"OOKAMI, Delta"
Kracken2,Bridges-2
kraken2,Rockfish
kyric,KyRIC
LAME,ACES
LAMMPS,"OOKAMI, Stampede-2, DARWIN, ACES, Delta, Bridges-2, Rockfish"
lammps_gpu,Rockfish
lammps_plumed,Rockfish
LAPACK,"OOKAMI, DARWIN"
LaPlace,DARWIN
LASSO-Python,ACES
launcher,"Stampede-2, Anvil"
lazygit,Bridges-2
Leptonica,ACES
LERC,ACES
lftp,Rockfish
libaec,ACES
libaio-0.3.110-gcc-9.3.0-n4f6zic,KyRIC
libarchive,ACES
libbsd-0.10.0-gcc-9.3.0-3feqfmu,KyRIC
libcap-devel,OOKAMI
libcerf,ACES
libdap,ACES
libdeflate,ACES
libdrm,ACES
libedit-3.1-20191231-gcc-9.3.0-vx2pxkm,KyRIC
libepoxy,ACES
libevent,"ACES, Rockfish"
libevent-2.1.12-gcc-9.3.0-3cujlr5,KyRIC
libfabric,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Rockfish"
libffi,"OOKAMI, ACES, Delta"
libffi-3.3-gcc-9.3.0-k4ehr4i,KyRIC
libflame,"Stampede-2, Anvil"
libgd,"OOKAMI, ACES, Rockfish"
libgeotiff,ACES
libgit2,ACES
libGLU,ACES
libglvnd,"ACES, Rockfish"
libgpg-error-1.37-gcc-9.3.0-aezalnn,KyRIC
libgpuarray,ACES
libiconv,"Anvil, ACES"
libiconv-1.16-gcc-9.3.0-rh6ayrz,KyRIC
libidn2-2.3.0-gcc-9.3.0-aqhzlnl,KyRIC
libint,"ACES, Rockfish"
libjpeg,Rockfish
libjpeg-turbo,ACES
libmesh,"Stampede-2, Anvil, Rockfish"
libnotify,OOKAMI
libogg,ACES
libopus,ACES
libpam,Rockfish
libpciaccess,"ACES, Rockfish"
libpciaccess-0.16-gcc-9.3.0-fcifgo6,KyRIC
libpng,"OOKAMI, ACES, Rockfish"
libreadline,"ACES, Rockfish"
librsvg,"ACES, Rockfish"
libseccomp-2.3.3-gcc-9.3.0-qbxca3c,KyRIC
libsigsegv-2.12-gcc-9.3.0-ieiqle7,KyRIC
libsndfile,ACES
libsodium,"ACES, Rockfish"
libszip,Anvil
libtiff,"Anvil, ACES, Rockfish"
libtirpc,"ACES, Delta, Rockfish"
libtool,ACES
libtool-2.4.6-gcc-9.3.0-nercunn,KyRIC
libunistring-0.9.10-gcc-9.3.0-ht5mbj6,KyRIC
libunwind,"OOKAMI, ACES"
libv8,Anvil
libvorbis,ACES
libvori,ACES
libwebp,ACES
libx11,"Anvil, Rockfish"
libxc,"OOKAMI, ACES, Rockfish"
libxcb,Rockfish
libXinerama,Rockfish
