Software,RP Name
subversion,"Expanse, Anvil, ACES, Delta, Rockfish"
suitesparse,"Stampede-2, ACES"
sundials,"Stampede-2, ACES, Rockfish"
superlu,Stampede-2
SuperLU_DIST,ACES
superlu_seq,Stampede-2
superlu-dist,Rockfish
swig,"Stampede-2, Anvil, ACES, Rockfish"
swr,Stampede-2
symphony,Rockfish
synthcity,ACES
szip,"ACES, Rockfish"
tabix,Rockfish
TACC,Stampede-2
tacc_tips,Stampede-2
tacc-apptainer,Stampede-2
tacc-singularity,Stampede-2
tar-1.32-gcc-9.3.0-nne6lsp,KyRIC
TAU,"OOKAMI, Stampede-2, KyRIC, DARWIN"
tbb,KyRIC
tbb32,KyRIC
Tcl,"ACES, Rockfish, Rockfish"
tcl-intel,Rockfish
tcsh,ACES
Tecplot,DARWIN
TELEMAC-MASCARET,DARWIN
template,OOKAMI
tensorboard,ACES
tensorboardX,ACES
tensorflow,"DARWIN, ACES, Bridges-2, Rockfish"
TensorRT,ACES
tesseract,ACES
texinfo,Anvil
texlive,"Stampede-2, Anvil, Rockfish"
Theano,"ACES, Bridges-2"
TIGER,Bridges-2
time,ACES
tk,"Anvil, ACES, Rockfish"
tk-intel,Rockfish
Tkinter,ACES
tmux,"ACES, Bridges-2"
torchsampler,ACES
torchtext,ACES
torchvision,ACES
totalview,"Anvil, Rockfish"
tqdm,ACES
transfig,Bridges-2
trilinos,"Stampede-2, ACES, Rockfish"
trim_galore,Stampede-2
trimmomatic,Rockfish
Trinity,Bridges-2
tRNAscan-se,Bridges-2
trng,Stampede-2
typing-extensions,ACES
UCC,ACES
UCC-CUDA,ACES
UCX,"Expanse, OOKAMI, Anvil, KyRIC, ACES, Rockfish"
UCX-CUDA,ACES
udunits,"Stampede-2, Anvil, ACES, Rockfish"
udunits2,Anvil
umfpack,Stampede-2
UnZip,ACES
utf8proc,ACES
util-linux,"OOKAMI, ACES"
util-linux-2.36-gcc-9.3.0-otku36t,KyRIC
util-linux-uuid-2.36-gcc-9.3.0-syp6lh5,KyRIC
util-macros-1.19.1-gcc-9.3.0-cpxnkry,KyRIC
VALET,DARWIN
valgrind,"Stampede-2, Anvil, KyRIC, Rockfish"
VASP,"DARWIN, Bridges-2"
VCF2MAF,Bridges-2
vcftools,"Bridges-2, Rockfish"
velocyto,Rockfish
vim,Rockfish
VisiData,Bridges-2
Visit,"OOKAMI, Stampede-2, Delta, Bridges-2"
vmd,"Stampede-2, ACES, Rockfish"
Voro++,ACES
vpl,KyRIC
vscodeserver,Rockfish
vtk,"Stampede-2, ACES"
VTune,"Stampede-2, KyRIC, ACES, Bridges-2"
wannier90,Rockfish
Wayland,ACES
WebProxy,ACES
westpa,Delta
WIEN2k,Bridges-2
WRF,"DARWIN, ACES"
wxWidgets,ACES
X11,"ACES, Rockfish"
x264,ACES
x265,ACES
xalt,"Stampede-2, Rockfish"
xarray,ACES
xclock,Delta
Xerces-C++,ACES
Xfig,Bridges-2
XGBoost,ACES
XML-LibXML,ACES
xorg-macros,ACES
xpdf,Rockfish
xpmem,OOKAMI
xprop,ACES
xtb,Rockfish
xv,Rockfish
Xvfb,ACES
xxd,ACES
XZ,"ACES, Rockfish"
xz-5.2.5-gcc-9.3.0-q5425k6,KyRIC
YACS,ACES
yaml,OOKAMI
Yasm,ACES
Z3,ACES
zarr,ACES
ZeroMQ,ACES
Zip,ACES
zlib,"Anvil, ACES, Rockfish"
zlib-1.2.11-gcc-9.3.0-mdobuge,KyRIC
Zoltan,"Stampede-2, Bridges-2"
zsh,"OOKAMI, Rockfish"
zstd,"Anvil, ACES"
zstd-1.4.5-gcc-9.3.0-46avrcd,KyRIC
