Software,RP Name,Software's Web Page,Software Documentation,Tutorials,
AUGUSTUS,Bridges-2,https://bioinf.uni-greifswald.de/augustus/,https://github.com/Gaius-Augustus/Augustus/blob/master/README.md,https://vcru.wisc.edu/simonlab/bioinformatics/programs/augustus/docs/tutorial2015/training.html,
Autoconf,ACES,https://www.gnu.org/software/autoconf/,https://www.gnu.org/software/autoconf/manual/,"https://www.lrde.epita.fr/~adl/autotools.html,https://www.sourceware.org/autobook/ ",
autoconf-2.69-gcc-9.3.0-u65r6re,KyRIC,,,,
autoconf-archive-2019.01.06-gcc-9.3.0-lrequrs,KyRIC,,,,
autodock,Rockfish,https://autodock.scripps.edu/,,,
Automake,ACES,https://www.gnu.org/software/automake/,https://www.gnu.org/software/automake/manual/,https://www.lrde.epita.fr/~adl/autotools.html,
automake-1.16.3-gcc-9.3.0-gqwwc3j,KyRIC,,,,
autotools,"Stampede-2, KyRIC, ACES",,,https://www.lrde.epita.fr/~adl/dl/autotools.pdf,
aws-cli,Anvil,https://aws.amazon.com/,https://docs.aws.amazon.com/,"https://aws.amazon.com/events/online-tech-talks/?events-master-ott.sort-by=item.additionalFields.startDate&events-master-ott.sort-order=asc&awsf.event-type=*all&awsf.series=*all&awsf.category=*all&awsf.level=*all , https://aws.amazon.com/training/ ",
BamTools,"ACES, Bridges-2, Rockfish",https://github.com/pezmaster31/bamtools,https://github.com/pezmaster31/bamtools/wiki,https://genome.sph.umich.edu/wiki/BamUtil:_convert,
banner,Delta,https://www.ellucian.com/solutions/ellucian-banner,,,
basemap,Stampede-2,https://matplotlib.org/basemap/stable/,https://basemaptutorial.readthedocs.io/en/latest/#,https://realpython.com/python-matplotlib-guide/,
basespace,Rockfish,https://www.illumina.com/products/by-type/informatics-products/basespace-sequence-hub.html,https://help.basespace.illumina.com/,,
bazel,"ACES, Rockfish",https://bazel.build/,https://bazel.build/about/intro,,
bbftp,Anvil,,,,
bcftools,"Bridges-2, Rockfish",https://basemaptutorial.readthedocs.io/en/latest/#,https://samtools.github.io/bcftools/howtos/index.html,,
bcl2fastq,Rockfish,,https://support.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/bcl2fastq/bcl2fastq2-v2-20-software-guide-15051736-03.pdf,https://galaxyproject.org/tutorials/ngs/,
BeautifulSoup,ACES,https://www.crummy.com/software/BeautifulSoup/,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,"https://www.datacamp.com/tutorial/web-scraping-using-python , https://www.tutorialspoint.com/beautiful_soup/beautiful_soup_quick_guide.htm ",
Bedops,Bridges-2,https://bedops.readthedocs.io/en/latest/,https://bedops.readthedocs.io/en/latest/,,
bedtools,"Bridges-2, Rockfish",https://bedtools.readthedocs.io/en/latest/,https://bedtools.readthedocs.io/en/latest/content/bedtools-suite.html,https://bedtools.readthedocs.io/en/latest/content/tools/intersect.html,
bedtools2,Rockfish,https://github.com/arq5x/bedtools2,https://bedtools.readthedocs.io/en/latest/content/bedtools-suite.html,https://bedtools.readthedocs.io/en/latest/content/example-usage.html,
berkeley-db-18.1.40-gcc-9.3.0-gdhsdtz,KyRIC,,,,No File
BerkeleyGW,Rockfish,https://berkeleygw.org/,https://docs.berkeleygw.org/en/latest/,https://berkeleygw.org/documentation/tutorial/,
binutils,ACES,https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs/,https://sourceware.org/binutils/docs-2.34/ld/index.html,
biocontainers,Stampede-2,https://biocontainers.pro/,,,
bioperl,"Stampede-2, Rockfish",https://bioperl.org/,https://bioperl.org/howtos/index.html,https://github.com/bioperl/bioperl-live/blob/master/README.md,
biopp,Rockfish,,,,
Biopython,ACES,https://biopython.org/,https://biopython.org/docs/1.75/api/Bio.html,https://biopython.org/DIST/docs/tutorial/Tutorial.html,
Bismark,Bridges-2,https://www.bioinformatics.babraham.ac.uk/projects/bismark/,,,
bison,"OOKAMI, ACES",https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/manual/,"https://www.gnu.org/software/bison/manual/html_node/Examples.html , https://aquamentus.com/flex_bison.html ",
BLAST,"Stampede-2, Bridges-2, Rockfish",https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/books/NBK279690/,"https://www.ncbi.nlm.nih.gov/books/NBK279690/,https://www.ncbi.nlm.nih.gov/books/NBK563372/",
blast+,"OOKAMI, ACES",,,,
BLAT,Bridges-2,https://genome.ucsc.edu/goldenPath/help/blatSpec.html,https://genome.ucsc.edu/goldenPath/help/blatSpec.html,,
Blender,ACES,https://www.blender.org/,https://docs.blender.org/manual/en/latest/,"https://www.youtube.com/watch?v=TPrnSACiTJ4&list=PLjEaoINr3zgHs8uzT3yqe4iHGfkCmMJ0P , https://en.wikibooks.org/wiki/Blender_3D:_Noob_to_Pro ",
blis,"OOKAMI, Stampede-2, Anvil, ACES",https://github.com/flame/blis,https://github.com/flame/blis/wiki,,
bokeh,ACES,https://bokeh.org/,https://docs.bokeh.org/en/latest/,"https://realpython.com/python-data-visualization-bokeh/ , https://programminghistorian.org/en/lessons/visualizing-with-bokeh ",
Boost,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Bridges-2, Rockfish",https://www.boost.org/,https://www.boost.org/doc/libs/,"https://www.boost.org/doc/libs/1_77_0/more/getting_started/index.html , https://theboostcpplibraries.com/ , https://www.packtpub.com/product/boostasio-c-network-programming-cookbook/9781783986545 ",
boost-mpi,Stampede-2,,,,
Boost.MPI,ACES,,,,
Boost.Python,ACES,,,,
bowtie,Rockfish,https://bowtie-bio.sourceforge.net/index.shtml,https://bowtie-bio.sourceforge.net/manual.shtml,,
bowtie2,"Bridges-2, Rockfish",https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml,,
Brotli,ACES,https://github.com/google/brotli,https://github.com/google/brotli,,
Brotli-python,ACES,,,,
Brunsli,ACES,https://github.com/google/brunsli,,,
BUSCO,Bridges-2,https://busco.ezlab.org/,,,
bwa,"ACES, Bridges-2, Rockfish",https://sourceforge.net/projects/bio-bwa/,,,
bwa-mem,Rockfish,,,,
bzip2,"Anvil, ACES, Rockfish",https://sourceware.org/bzip2/,,https://www.tutorialspoint.com/unix_commands/bzip2.htm,
bzip2-1.0.8-gcc-9.3.0-mhfuqd4,KyRIC,,,,
C,Bridges-2,,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n1548.pdf,"https://www.learn-c.org/ , https://www.youtube.com/watch?v=KJgsSFOSQv0&list=PL6gx4Cwl9DGBsvRxJJOzG4r4k_zLKrnxl ",
C++,Bridges-2,https://cplusplus.com/,https://devdocs.io/cpp/,"https://cplusplus.com/doc/tutorial/ , https://www.youtube.com/watch?v=Rub-JsjMhWY , https://www.learncpp.com/ ",
cactus,Rockfish,https://www.cactuscode.org/,https://www.cactuscode.org/documentation/,,
Caffe,"Stampede-2, Bridges-2",,,,Links Defunct
cairo,"ACES, Rockfish",https://www.cairographics.org/,https://www.cairographics.org/manual/,"https://www.cairographics.org/tutorial/ , https://zetcode.com/gfx/cairo/ ",
canu,Stampede-2,,https://canu.readthedocs.io/en/latest/,,
captum,ACES,https://captum.ai/,https://captum.ai/docs/introduction,https://captum.ai/tutorials/,
carp,Rockfish, ,https://carp-lang.github.io/carp-docs/Manual.html,https://github.com/carp-lang/Carp/blob/master/docs/LanguageGuide.md,
caveman,Rockfish,https://cancerit.github.io/CaVEMan/,,,
caviar,Rockfish,https://github.com/fhormoz/caviar,,,
ccache,ACES,https://ccache.dev/,https://ccache.dev/manual/latest.html,https://linux.die.net/man/1/ccache,
ccl,KyRIC,https://ccl.clozure.com/,https://ccl.clozure.com/docs/ccl.html,,
cdo,"ACES, Rockfish",https://code.mpimet.mpg.de/projects/cdo,https://code.mpimet.mpg.de/projects/cdo/wiki/Cdo#Documentation,https://code.mpimet.mpg.de/projects/cdo/wiki/Tutorial,
cdsapi,ACES,,,,
cellranger,Rockfish,https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger,,,
cellranger-atac,Rockfish,,,,No File
cesm,Rockfish,https://www.cesm.ucar.edu/models/cesm2,https://esmci.github.io/cime/versions/master/html/index.html,https://www.cesm.ucar.edu/events/tutorials,
CESM-deps,ACES,,,,No File
CFITSIO,ACES,https://heasarc.gsfc.nasa.gov/fitsio/fitsio.html,https://heasarc.gsfc.nasa.gov/fitsio/c/c_user/cfitsio.html,"https://fits.gsfc.nasa.gov/fits_libraries.html#c_cfitsio, https://heasarc.gsfc.nasa.gov/docs/software/fitsio/cexamples.html",
CGAL,ACES,https://www.cgal.org/,https://doc.cgal.org/latest/Manual/,"https://doc.cgal.org/latest/Manual/preliminaries.html, https://doc.cgal.org/latest/Manual/packages.html",
chapel,OOKAMI,https://chapel-lang.org/,https://chapel-lang.org/docs/master/,https://chapel-lang.org/tutorials.html,
charliecloud,"ACES, Rockfish",https://hpc.github.io/charliecloud/,https://hpc.github.io/charliecloud/,"https://hpc.github.io/charliecloud/tutorial.html, ",
Check,ACES,,,,Links  Defunct
CheckM,Bridges-2,,,,No File
chemprop,ACES,https://chemprop.readthedocs.io/en/latest/,https://github.com/chemprop/chemprop/blob/master/README.md,"https://chemprop.readthedocs.io/en/latest/tutorial.html, ",
ChimeraX,ACES,,,,No File
Circos,Bridges-2,,,,No File
cisTEM,ACES,https://cistem.org/,https://cistem.org/documentation,,
Clang,ACES,,,,No File
clck,KyRIC,https://www.intel.com/content/www/us/en/developer/tools/oneapi/cluster-checker.html#gs.5j2g84,https://www.intel.com/content/www/us/en/developer/tools/oneapi/cluster-checker-documentation.html,https://www.intel.com/content/www/us/en/docs/cluster-checker/user-guide/2021-7-2/getting-started.html,
CliMetLab,ACES,,,,
CLIP,ACES,https://openai.com/research/clip,https://github.com/openai/CLIP,https://github.com/openai/CLIP#usage,
cluster-tools,OOKAMI,,,,No File
cm-pmix3,OOKAMI,,,,No File
CMake,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Delta, Bridges-2, Rockfish",https://cmake.org/,https://cmake.org/documentation/,"https://cmake.org/getting-started/, https://cmake.org/cmake/help/latest/guide/tutorial/index.html , https://www.youtube.com/watch?v=wl2Srog-j7I",
cmake-3.19.5-gcc-9.3.0-6hw3usg,KyRIC,,,,No File
cmd,OOKAMI,,,,No File
cmjob,"Expanse, OOKAMI",,,,No File
coinutils,Rockfish,https://github.com/coin-or/CoinUtils,https://coin-or.github.io/CoinUtils/Doxygen/index.html,"https://coin-or.github.io/user_introduction.html, http://www.coin-or.org/Doxygen/Coin/all.html",
ColabFold,ACES,,,,No File
Comp-D_MPI,Rockfish,,,,No File
compiler,KyRIC,,,,Multiple JSON in compiler.json
compiler-rt,KyRIC,,,,No File
compiler-rt32,KyRIC,,,,No File
compiler32,KyRIC,,,,No File
Comsol,DARWIN,,,,No File
Conda,Bridges-2,,,,No File
CoordgenLibs,ACES,,,,No File
CP2K,"ACES, Bridges-2",https://www.cp2k.org/,https://manual.cp2k.org/trunk/,https://www.cp2k.org/exercises,
CPE,OOKAMI,,,,No File
CPE-nosve,OOKAMI,,,,No File
cppy,ACES,,,,No File
cryptsetup-2.3.1-gcc-9.3.0-bq4hfrl,KyRIC,,,,No File
cuda,"Jetstream2, OOKAMI, ACES, Delta, Bridges-2, Rockfish",https://developer.nvidia.com/cuda-zone,https://docs.nvidia.com/cuda/,"https://youtu.be/H3AQnlpxk0c, https://youtu.be/_JgNA82325I, https://youtu.be/dB5Jxwj0PDw, https://developer.nvidia.com/cuda-toolkit ",
CUDAcore,ACES,,,,No File
cuDF,ACES,https://github.com/rapidsai/cudf,https://docs.rapids.ai/api/cudf/stable/,"https://www.youtube.com/watch?v=lV7rtDW94do, ",
cudnn,"ACES, Delta, Rockfish",https://developer.nvidia.com/cudnn,https://docs.nvidia.com/deeplearning/cudnn/developer/overview.html,"https://docs.nvidia.com/deeplearning/cudnn/installation/overview.html, https://docs.nvidia.com/deeplearning/cudnn/archives/cudnn_765/cudnn-developer-guide/index.html, https://pyimagesearch.com/2020/03/23/using-tensorflow-and-gradienttape-to-train-a-keras-model/",
cue-login-env,"Expanse, Delta",,,,No File
cufflinks,Rockfish,https://github.com/santosjorge/cufflinks,https://plotly.com/python/getting-started/,,
CuPy,ACES,,,,No File
curl,"OOKAMI, Anvil, ACES, Rockfish",https://curl.se/,https://curl.se/docs/,https://curl.se/docs/tutorial.html,
curl-7.74.0-gcc-9.3.0-e6rhv5y,KyRIC,,,,No File
cutadapt,"Bridges-2, Rockfish",https://cutadapt.readthedocs.io/en/stable/,https://cutadapt.readthedocs.io/en/stable/,https://cutadapt.readthedocs.io/en/stable/guide.html,
cuTENSOR,ACES,,,,No File
Cython,ACES,https://cython.org/,https://cython.readthedocs.io/en/latest/,"https://cython.readthedocs.io/en/latest/src/tutorial/cython_tutorial.html , https://pythonprogramming.net/introduction-and-basics-cython-tutorial/ , https://www.youtube.com/watch?v=JKCjsRDffXo ",
cython-blis,ACES,,,,
dakota,"Stampede-2, Rockfish",https://dakota.sandia.gov/,,,
dal,KyRIC,,,,Links Defunct
dask,ACES,https://www.dask.org/,https://docs.dask.org/en/latest/,"https://tutorial.dask.org/ , https://www.youtube.com/watch?v=mqdglv9GnM8 ",
DB,ACES,,,,No File
DBus,ACES,https://www.freedesktop.org/wiki/Software/dbus/,,https://dbus.freedesktop.org/doc/dbus-tutorial.html,
DCMTK,ACES,,,,No File
